Tickers,ROE>5,Increasing Revenue,Positive OCF,Increasing EPS,Quality of Earnings,Long Term Debt vs Asset,Increasing Net Income,Market Cap > Median,Increasing Asset Turnover
1728 HK Equity,1.1800425449622898,1.582092438599884,0.6927093405530845,1.7056662154322182,1.0181783020692323,0.14619996132276156,0.574356990910849,1.4776638947979115,0.6230903113517695
1999 HK Equity,1.3015198927134555,0.8750558784085829,0.6779168529280286,1.8607510058113546,0.7261957979436746,0.7744747429593205,0.7664282521233795,1.7863209655789003,0.23133661153330354
1929 HK Equity,1.7554455445544555,1.300990099009901,1.5282178217821782,1.6596534653465347,0.9044554455445545,0.3920792079207921,0.6215346534653465,0.2806930693069307,0.556930693069307
2331 HK Equity,0.46507786691835773,0.33978291647003306,0.8197262859839547,0.7347805568664464,2.0450684285040115,1.8751769702689949,1.8390750353940537,0.7390278433223219,0.14228409627182634
1114 HK Equity,0.2912125340599455,1.0192438692098094,1.3748297002724796,0.6023501362397821,1.123467302452316,1.3947547683923707,1.025374659400545,1.3549046321525886,0.8138623978201635
3813 HK Equity,0.08874281018898932,1.8377156943303206,1.6750205423171733,0.2181594083812654,1.4069433032046015,0.28656532456861133,1.0297863599013968,0.6082580115036976,1.848808545603944
136 HK Equity,0.9229054430614899,1.2021177781906,0.8928107003529631,1.2940739364666543,0.8025264722273825,0.7540404978636448,1.126880921419283,1.0884265279583876,0.916217722459595
1211 HK Equity,2.014047696831101,0.7762169225743221,0.3675269519764783,1.1819666775563542,0.27932048350212346,0.2234563868016988,2.7285200914733747,0.5968637700098007,0.8320810192747469
3818 HK Equity,1.2713004484304933,0.9484304932735426,2.398822869955157,0.002522421524663677,0.968609865470852,1.788396860986547,0.22701793721973093,0.4792600896860987,0.9156390134529148
1828 HK Equity,1.1143577885221778,0.10784107630859785,1.00651671221358,1.6932940929157032,1.6668068110153458,0.07189405087239857,0.567584612150515,1.0027328147992431,1.7689720412024386
494 HK Equity,1.7411491584445735,0.698200812536274,0.4178757980266976,1.3894370284387696,0.8148578061520604,1.5113174695298897,1.0290191526407428,0.7486941381311666,0.6494486360998258
1086 HK Equity,1.7267049712715463,0.8048963277541844,0.9825131151636273,2.194354234324257,0.5935548338745941,1.5783162628028977,0.020234823882088433,0.2765425930552086,0.8228828378715963
860 HK Equity,1.7042665108123904,0.9082407948568089,1.4868497954412625,0.07188778492109878,1.4044418468731736,0.8872004675628288,1.7481005260081823,0.2559906487434249,0.5330216247808299
819 HK Equity,0.8420338983050848,1.1328813559322033,0.03864406779661017,1.3545762711864406,1.0393220338983051,1.8467796610169491,0.9722033898305085,1.2691525423728813,0.504406779661017
78 HK Equity,1.962721342031687,0.14259086672879775,1.3084808946877913,0.8555452003727866,2.68685927306617,0.1929170549860205,0.9534016775396086,0.6123019571295434,0.2851817334575955
2282 HK Equity,1.4197860962566844,0.02221308103661045,0.19806663924310983,1.815919374742904,1.332784862196627,0.7367338543809132,1.7196626902509256,1.2735499794323324,0.48128342245989303
1212 HK Equity,1.5390907361613086,1.3610424196309683,1.474034620505992,1.165874072665018,1.0477458626593115,0.5855050408978505,0.13011223131063343,0.5495529769830702,1.1470420391858474
1269 HK Equity,1.0696643445218492,1.7194426852438252,0.14249525015832806,0.48068397720075995,1.0487650411652945,0.5110829639012033,1.4838505383153895,0.6573780873970868,1.8866371120962635
547 HK Equity,0.9934640522875817,1.3398692810457515,1.2565359477124183,1.107843137254902,0.35947712418300654,0.24509803921568626,0.7892156862745098,1.5179738562091503,1.3905228758169934
175 HK Equity,0.6164610568955994,1.5096667280427176,0.5617749953967962,0.20548701896519977,0.9777204934634506,1.4682378935739275,1.5577241760265144,0.9860062603572086,1.116921377278586
256 HK Equity,0.7271662763466042,0.7608899297423888,1.243559718969555,0.8114754098360656,1.1002341920374707,1.2878220140515222,0.1306791569086651,1.681967213114754,1.2562060889929743
489 HK Equity,0.038892162639952856,1.6582203889216265,0.6717737183264585,0.4278137890394814,0.7990571596935769,1.571596935769004,1.1278727165586329,1.6493812610489098,1.055391868002357
1293 HK Equity,1.4040354330708662,0.06200787401574803,1.5236220472440944,0.08636811023622047,1.282234251968504,0.055364173228346455,1.0430610236220472,2.1414862204724407,1.4018208661417322
848 HK Equity,0.3140447804594359,1.1829020063972084,1.6984588543181158,0.7615585926141321,1.9523117185228265,0.5103227682465833,0.7824949113114278,0.5181738877580692,1.2797324803722012
669 HK Equity,0.7416612164813604,0.6729888816219751,1.565729234793983,1.2812295618051013,1.4421190320470896,0.4787442773054284,0.5650752125572269,0.6219751471550032,1.6304774362328318
1382 HK Equity,1.4356482578810144,0.949277079876748,2.0820099549656317,0.6740933870585447,0.08532827684285375,0.3925100734771273,1.87295567670064,0.38611045271391325,1.122066840483527
1060 HK Equity,1.198539052256977,1.3755384903539989,0.9338827495785728,0.7299119685334332,0.608540925266904,0.5006555534744335,1.3772241992882561,0.7366548042704626,1.539052256976962
521 HK Equity,0.6335403726708074,2.0077639751552794,0.7243788819875776,0.04192546583850932,2.1614906832298137,0.5194099378881988,0.7732919254658385,1.826086956521739,0.31211180124223603
1128 HK Equity,2.1333333333333333,0.9333333333333333,0.5287356321839081,2.0160919540229885,0.728735632183908,0.542528735632184,1.4666666666666666,0.5977011494252874,0.052873563218390804
1028 HK Equity,0.9784615384615385,0.7523076923076923,0.96,1.146153846153846,0.4123076923076923,0.9876923076923076,1.5292307692307692,0.7738461538461539,1.46
538 HK Equity,1.0469350596803562,1.7315395508800324,0.9049160428889338,1.6787376087396317,1.4420392474205947,0.5225571515274126,0.1147076674084564,0.8047744284847259,0.7537932429698564
1368 HK Equity,1.1086444007858547,1.7168958742632614,0.38192534381139487,0.9884086444007859,0.27406679764243613,0.9618860510805501,1.624950884086444,1.1846758349705304,0.7585461689587426
178 HK Equity,1.5452620434092113,1.548438327157226,0.12387506617257808,1.5532027527792482,0.13499205929062996,1.0021175224986765,1.475383800952885,1.4642668078348333,0.1524616199047115
2238 HK Equity,0.7957712638154734,0.7654973570398846,0.49735703988467084,1.0941854877462758,2.0391638635271505,0.9060547813551177,0.20110523786641038,1.0509370494954349,1.649927919269582
27 HK Equity,1.8547958444068615,0.17178062333897076,1.6156076346943706,0.3674800676491906,0.8654264315051945,0.2696303454940807,1.2176854312635903,0.8741241845856487,1.7634694370620922
200 HK Equity,0.6773328566321059,1.3482302466928853,1.320879513764748,0.9299249195566679,0.6692885234179478,0.9283160529138362,0.9090096531998569,1.3498391133357168,0.8671791204862352
